	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	3rd	1st	3rd			1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd	1st	3rd
	singular	singular	plural	plural	singular	singular	plural	plural	singular	singular	plural	plural	singular	singular	plural	plural	singular	plural	plural			singular	singular	plural	plural	singular	singular	plural	plural	singular	singular	plural	plural	singular	singular	plural	plural
	presente	presente	presente	presente	imperfeito	imperfeito	imperfeito	imperfeito	pretérito	pretérito	pretérito	pretérito	condicional	condicional	condicional	condicional				gerundo	particípio	presente	presente	presente	presente	imperfeito	imperfeito	imperfeito	imperfeito	futuro	futuro	futuro	futuro	pessoal	pessoal	pessoal	pessoal
infinitivo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo	indicativo					imperativo	imperativo	imperativo			subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	subjuntivo	infinitivo	infinitivo	infinitivo	infinitivo
cantar	canto	canta	cantamos	cantam	cantava	cantava	cantávamos	cantavam	cantei	cantou	cantamos	cantaram	cantaria	cantaria	cantaríamos	cantariam	cante	cantemos	cantem	cantando	cantado	cante	cante	cantemos	cantem	cantasse	cantasse	cantássemos	cantassem	cantar	cantar	cantarmos	cantarem	cantar	cantar	cantarmos	cantarem
correr	corro	corre	corremos	correm	corria	corria	corríamos	corriam	corri	correu	corremos	correram	correria	correria	correríamos	correriam	corra	corramos	corram	correndo	corrido	corra	corra	corramos	corram	corresse	corresse	corrêssemos	corressem	correr	correr	corrermos	correrem	correr	correr	corrermos	correrem
partir	parto	parte	partimos	partem	partia	partia	partíamos	partiam	parti	partiu	partimos	partiram	partiria	partiria	partiríamos	partiriam	parta	partamos	partam	partindo	partido	parta	parta	partamos	partam	partisse	partisse	partíssemos	partissem	partir	partir	partirmos	partirem	partir	partir	partirmos	partirem
pegar	pego	pega	pegamos	pegam	pegava	pegava	pegávamos	pegavam	peguei	pegou	pegamos	pegaram	pegaria	pegaria	pegaríamos	pegariam	pegue	peguemos	peguem	pegando	pegado	pegue	pegue	peguemos	peguem	pegasse	pegasse	pegássemos	pegassem	pegar	pegar	pegarmos	pegarem	pegar	pegar	pegarmos	pegarem
ficar	fico	fica	ficamos	ficam	ficava	ficava	ficávamos	ficavam	fiquei	ficou	ficamos	ficaram	ficaria	ficaria	ficaríamos	ficariam	fique	fiquemos	fiquem	ficando	ficado	fique	fique	fiquemos	fiquem	ficasse	ficasse	ficássemos	ficassem	ficar	ficar	ficarmos	ficarem	ficar	ficar	ficarmos	ficarem
começar	começo	começa	começamos	começam	começava	começava	começávamos	começavam	comecei	começou	começamos	começaram	começaria	começaria	começaríamos	começariam	comece	comecemos	comecem	começando	começado	comece	comece	comecemos	comecem	começasse	começasse	começássemos	começassem	começar	começar	começarmos	começarem	começar	começar	começarmos	começarem
